dataset,alpha,algo,seed,chicken_violations,kernel_count,heuristic_violations,total_violations,chicken_ms,heuristic_ms
Bitcoin,1.00,gaia,2,0,1,652,652,229,419
Bitcoin,1.00,gaia,10,0,1,641,641,229,468
Bitcoin,1.00,gaia,6,0,1,641,641,229,492
Bitcoin,1.00,gaia,8,0,1,644,644,229,504
Bitcoin,1.00,gaia,5,0,1,656,656,229,518
Bitcoin,1.00,gaia,3,0,1,654,654,229,557
Bitcoin,1.00,gaia,7,0,1,684,684,229,588
Bitcoin,1.00,gaia,4,0,1,651,651,229,595
Bitcoin,1.00,gaia,9,0,1,653,653,229,638
Bitcoin,1.00,gaia,1,0,1,651,651,229,663
Bitcoin,1.00,gaia,13,0,1,649,649,229,367
Bitcoin,1.00,gaia,18,0,1,649,649,229,299
Bitcoin,1.00,gaia,11,0,1,680,680,229,624
Bitcoin,1.00,gaia,15,0,1,641,641,229,670
Bitcoin,1.00,gaia,16,0,1,664,664,229,652
Bitcoin,1.00,gaia,12,0,1,639,639,229,737
Bitcoin,1.00,gaia,14,0,1,659,659,229,777
Bitcoin,1.00,gaia,17,0,1,643,643,229,706
Bitcoin,1.00,gaia,20,0,1,642,642,229,692
Bitcoin,1.00,gaia,19,0,1,639,639,229,726
Bitcoin,1.00,gaia,24,0,1,671,671,229,291
Bitcoin,1.00,gaia,21,0,1,684,684,229,632
Bitcoin,1.00,gaia,22,0,1,639,639,229,656
Bitcoin,1.00,gaia,30,0,1,672,672,229,333
Bitcoin,1.00,gaia,23,0,1,648,648,229,673
Bitcoin,1.00,gaia,29,0,1,680,680,229,366
Bitcoin,1.00,gaia,27,0,1,641,641,229,525
Bitcoin,1.00,gaia,26,0,1,652,652,229,611
Bitcoin,1.00,gaia,25,0,1,645,645,229,656
Bitcoin,1.00,gaia,28,0,1,672,672,229,573
Bitcoin,1.00,gaia,32,0,1,645,645,229,465
Bitcoin,1.00,gaia,38,0,1,713,713,229,290
Bitcoin,1.00,gaia,33,0,1,645,645,229,587
Bitcoin,1.00,gaia,36,0,1,647,647,229,420
Bitcoin,1.00,gaia,34,0,1,681,681,229,440
Bitcoin,1.00,gaia,35,0,1,646,646,229,495
Bitcoin,1.00,gaia,37,0,1,644,644,229,504
Bitcoin,1.00,gaia,41,0,1,652,652,229,433
Bitcoin,1.00,gaia,39,0,1,644,644,229,619
Bitcoin,1.00,gaia,40,0,1,648,648,229,624
Bitcoin,1.00,gaia,31,0,1,643,643,229,1068
Bitcoin,1.00,gaia,45,0,1,644,644,229,416
Bitcoin,1.00,gaia,44,0,1,643,643,229,467
Bitcoin,1.00,gaia,43,0,1,651,651,229,607
Bitcoin,1.00,gaia,47,0,1,652,652,229,491
Bitcoin,1.00,gaia,48,0,1,669,669,229,467
Bitcoin,1.00,gaia,46,0,1,673,673,229,705
Bitcoin,1.00,gaia,50,0,1,650,650,229,533
Bitcoin,1.00,gaia,42,0,1,660,660,229,1042
Bitcoin,1.00,venus,1,0,1,659,659,229,639
Bitcoin,1.00,venus,2,0,1,644,644,229,653
Bitcoin,1.00,gaia,49,0,1,672,672,229,747
Bitcoin,1.00,venus,6,0,1,626,626,229,641
Bitcoin,1.00,venus,3,0,1,633,633,229,978
Bitcoin,1.00,venus,7,0,1,658,658,229,897
Bitcoin,1.00,venus,5,0,1,639,639,229,1021
Bitcoin,1.00,venus,9,0,1,656,656,229,730
Bitcoin,1.00,venus,12,0,1,664,664,229,700
Bitcoin,1.00,venus,10,0,1,660,660,229,844
Bitcoin,1.00,venus,4,0,1,627,627,229,1322
Bitcoin,1.00,venus,8,0,1,638,638,229,1185
Bitcoin,1.00,venus,14,0,1,651,651,229,658
Bitcoin,1.00,venus,11,0,1,632,632,229,1157
Bitcoin,1.00,venus,17,0,1,635,635,229,603
Bitcoin,1.00,venus,13,0,1,635,635,229,1023
Bitcoin,1.00,venus,16,0,1,658,658,229,713
Bitcoin,1.00,venus,19,0,1,625,625,229,551
Bitcoin,1.00,venus,15,0,1,636,636,229,817
Bitcoin,1.00,venus,20,0,1,631,631,229,731
Bitcoin,1.00,venus,18,0,1,661,661,229,874
Bitcoin,1.00,venus,21,0,1,626,626,229,708
Bitcoin,1.00,venus,24,0,1,652,652,229,649
Bitcoin,1.00,venus,26,0,1,637,637,229,609
Bitcoin,1.00,venus,25,0,1,655,655,229,810
Bitcoin,1.00,venus,22,0,1,640,640,229,1145
Bitcoin,1.00,venus,30,0,1,665,665,229,587
Bitcoin,1.00,venus,27,0,1,640,640,229,811
Bitcoin,1.00,venus,29,0,1,639,639,229,654
Bitcoin,1.00,venus,23,0,1,638,638,229,1096
Bitcoin,1.00,venus,28,0,1,655,655,229,1001
Bitcoin,1.00,venus,31,0,1,635,635,229,810
Bitcoin,1.00,venus,32,0,1,666,666,229,791
Bitcoin,1.00,venus,37,0,1,635,635,229,635
Bitcoin,1.00,venus,39,0,1,626,626,229,565
Bitcoin,1.00,venus,33,0,1,642,642,229,905
Bitcoin,1.00,venus,36,0,1,631,631,229,778
Bitcoin,1.00,venus,38,0,1,658,658,229,726
Bitcoin,1.00,venus,34,0,1,653,653,229,872
Bitcoin,1.00,venus,35,0,1,650,650,229,930
Bitcoin,1.00,venus,40,0,1,632,632,229,860
Bitcoin,1.00,venus,41,0,1,638,638,229,776
Bitcoin,1.00,venus,44,0,1,656,656,229,597
Bitcoin,1.00,venus,47,0,1,647,647,229,537
Bitcoin,1.00,venus,45,0,1,665,665,229,661
Bitcoin,1.00,venus,42,0,1,648,648,229,788
Bitcoin,1.00,venus,46,0,1,632,632,229,638
Bitcoin,1.00,venus,43,0,1,653,653,229,813
Bitcoin,1.00,venus,49,0,1,635,635,229,665
Bitcoin,1.00,venus,48,0,1,638,638,229,898
Bitcoin,1.00,venus,50,0,1,638,638,229,693
Bitcoin,0.90,gaia,9,172,1,443,615,258,162
Bitcoin,0.90,gaia,1,172,1,447,619,258,230
Bitcoin,0.90,gaia,2,172,1,469,641,258,257
Bitcoin,0.90,gaia,10,172,1,436,608,258,302
Bitcoin,0.90,gaia,8,172,1,502,674,258,333
Bitcoin,0.90,gaia,7,172,1,448,620,258,356
Bitcoin,0.90,gaia,6,172,1,430,602,258,380
Bitcoin,0.90,gaia,4,172,1,437,609,258,387
Bitcoin,0.90,gaia,11,172,1,431,603,258,260
Bitcoin,0.90,gaia,3,172,1,428,600,258,439
Bitcoin,0.90,gaia,18,172,1,444,616,258,199
Bitcoin,0.90,gaia,13,172,1,429,601,258,336
Bitcoin,0.90,gaia,16,172,1,434,606,258,246
Bitcoin,0.90,gaia,15,172,1,452,624,258,278
Bitcoin,0.90,gaia,14,172,1,456,628,258,309
Bitcoin,0.90,gaia,17,172,1,445,617,258,270
Bitcoin,0.90,gaia,19,172,1,494,666,258,226
Bitcoin,0.90,gaia,20,172,1,443,615,258,250
Bitcoin,0.90,gaia,12,172,1,433,605,258,474
Bitcoin,0.90,gaia,21,172,1,452,624,258,257
Bitcoin,0.90,gaia,5,172,1,442,614,258,884
Bitcoin,0.90,gaia,25,172,1,443,615,258,275
Bitcoin,0.90,gaia,24,172,1,445,617,258,330
Bitcoin,0.90,gaia,23,172,1,439,611,258,345
Bitcoin,0.90,gaia,29,172,1,448,620,258,279
Bitcoin,0.90,gaia,28,172,1,447,619,258,303
Bitcoin,0.90,gaia,27,172,1,425,597,258,387
Bitcoin,0.90,gaia,26,172,1,452,624,258,389
Bitcoin,0.90,gaia,30,172,1,432,604,258,324
Bitcoin,0.90,gaia,22,172,1,438,610,258,609
Bitcoin,0.90,gaia,31,172,1,437,609,258,406
Bitcoin,0.90,gaia,38,172,1,450,622,258,312
Bitcoin,0.90,gaia,36,172,1,447,619,258,376
Bitcoin,0.90,gaia,34,172,1,432,604,258,424
Bitcoin,0.90,gaia,33,172,1,442,614,258,437
Bitcoin,0.90,gaia,35,172,1,447,619,258,438
Bitcoin,0.90,gaia,32,172,1,438,610,258,541
Bitcoin,0.90,gaia,37,172,1,416,588,258,400
Bitcoin,0.90,gaia,40,172,1,467,639,258,374
Bitcoin,0.90,gaia,43,172,1,446,618,258,237
Bitcoin,0.90,gaia,48,172,1,434,606,258,189
Bitcoin,0.90,gaia,39,172,1,419,591,258,482
Bitcoin,0.90,gaia,44,172,1,442,614,258,289
Bitcoin,0.90,gaia,42,172,1,448,620,258,327
Bitcoin,0.90,gaia,45,172,1,441,613,258,306
Bitcoin,0.90,gaia,47,172,1,430,602,258,262
Bitcoin,0.90,gaia,46,172,1,433,605,258,284
Bitcoin,0.90,gaia,41,172,1,438,610,258,461
Bitcoin,0.90,gaia,49,172,1,431,603,258,240
Bitcoin,0.90,gaia,50,172,1,443,615,258,281
Bitcoin,0.90,venus,2,172,1,418,590,258,274
Bitcoin,0.90,venus,3,172,1,431,603,258,303
Bitcoin,0.90,venus,1,172,1,425,597,258,423
Bitcoin,0.90,venus,6,172,1,420,592,258,385
Bitcoin,0.90,venus,8,172,1,423,595,258,350
Bitcoin,0.90,venus,5,172,1,426,598,258,434
Bitcoin,0.90,venus,7,172,1,431,603,258,495
Bitcoin,0.90,venus,4,172,1,422,594,258,544
Bitcoin,0.90,venus,10,172,1,423,595,258,374
Bitcoin,0.90,venus,9,172,1,414,586,258,483
Bitcoin,0.90,venus,12,172,1,431,603,258,382
Bitcoin,0.90,venus,11,172,1,404,576,258,475
Bitcoin,0.90,venus,14,172,1,431,603,258,451
Bitcoin,0.90,venus,13,172,1,423,595,258,490
Bitcoin,0.90,venus,16,172,1,444,616,258,432
Bitcoin,0.90,venus,19,172,1,411,583,258,355
Bitcoin,0.90,venus,20,172,1,423,595,258,329
Bitcoin,0.90,venus,15,172,1,428,600,258,538
Bitcoin,0.90,venus,17,172,1,428,600,258,480
Bitcoin,0.90,venus,18,172,1,434,606,258,463
Bitcoin,0.90,venus,22,172,1,441,613,258,334
Bitcoin,0.90,venus,21,172,1,426,598,258,468
Bitcoin,0.90,venus,25,172,1,410,582,258,415
Bitcoin,0.90,venus,23,172,1,437,609,258,450
Bitcoin,0.90,venus,24,172,1,436,608,258,465
Bitcoin,0.90,venus,27,172,1,431,603,258,449
Bitcoin,0.90,venus,26,172,1,425,597,258,466
Bitcoin,0.90,venus,31,172,1,432,604,258,407
Bitcoin,0.90,venus,28,172,1,435,607,258,508
Bitcoin,0.90,venus,30,172,1,409,581,258,468
Bitcoin,0.90,venus,32,172,1,426,598,258,385
Bitcoin,0.90,venus,29,172,1,421,593,258,663
Bitcoin,0.90,venus,34,172,1,429,601,258,446
Bitcoin,0.90,venus,33,172,1,431,603,258,484
Bitcoin,0.90,venus,36,172,1,426,598,258,406
Bitcoin,0.90,venus,40,172,1,434,606,258,373
Bitcoin,0.90,venus,35,172,1,412,584,258,566
Bitcoin,0.90,venus,39,172,1,431,603,258,453
Bitcoin,0.90,venus,41,172,1,428,600,258,455
Bitcoin,0.90,venus,42,172,1,433,605,258,381
Bitcoin,0.90,venus,38,172,1,417,589,258,610
Bitcoin,0.90,venus,43,172,1,422,594,258,402
Bitcoin,0.90,venus,45,172,1,426,598,258,362
Bitcoin,0.90,venus,37,172,1,422,594,258,795
Bitcoin,0.90,venus,47,172,1,441,613,258,336
Bitcoin,0.90,venus,48,172,1,430,602,258,311
Bitcoin,0.90,venus,44,172,1,442,614,258,473
Bitcoin,0.90,venus,46,172,1,414,586,258,451
Bitcoin,0.90,venus,49,172,1,414,586,258,337
Bitcoin,0.90,venus,50,172,1,430,602,258,437
Bitcoin,0.80,gaia,1,426,1,217,643,263,65
Bitcoin,0.80,gaia,10,426,1,208,634,263,71
Bitcoin,0.80,gaia,3,426,1,225,651,263,100
Bitcoin,0.80,gaia,7,426,1,197,623,263,114
Bitcoin,0.80,gaia,9,426,1,200,626,263,128
Bitcoin,0.80,gaia,11,426,1,203,629,263,79
Bitcoin,0.80,gaia,2,426,1,191,617,263,155
Bitcoin,0.80,gaia,5,426,1,199,625,263,158
Bitcoin,0.80,gaia,4,426,1,195,621,263,163
Bitcoin,0.80,gaia,6,426,1,204,630,263,166
Bitcoin,0.80,gaia,14,426,1,209,635,263,109
Bitcoin,0.80,gaia,17,426,1,198,624,263,81
Bitcoin,0.80,gaia,13,426,1,201,627,263,137
Bitcoin,0.80,gaia,16,426,1,204,630,263,103
Bitcoin,0.80,gaia,18,426,1,225,651,263,113
Bitcoin,0.80,gaia,8,426,1,197,623,263,273
Bitcoin,0.80,gaia,19,426,1,210,636,263,114
Bitcoin,0.80,gaia,20,426,1,200,626,263,128
Bitcoin,0.80,gaia,12,426,1,207,633,263,228
Bitcoin,0.80,gaia,15,426,1,208,634,263,176
Bitcoin,0.80,gaia,24,426,1,222,648,263,112
Bitcoin,0.80,gaia,21,426,1,213,639,263,142
Bitcoin,0.80,gaia,29,426,1,204,630,263,69
Bitcoin,0.80,gaia,23,426,1,201,627,263,154
Bitcoin,0.80,gaia,27,426,1,206,632,263,120
Bitcoin,0.80,gaia,22,426,1,223,649,263,170
Bitcoin,0.80,gaia,28,426,1,226,652,263,126
Bitcoin,0.80,gaia,26,426,1,206,632,263,165
Bitcoin,0.80,gaia,25,426,1,206,632,263,179
Bitcoin,0.80,gaia,30,426,1,224,650,263,146
Bitcoin,0.80,gaia,34,426,1,214,640,263,96
Bitcoin,0.80,gaia,31,426,1,187,613,263,141
Bitcoin,0.80,gaia,33,426,1,206,632,263,167
Bitcoin,0.80,gaia,32,426,1,211,637,263,171
Bitcoin,0.80,gaia,35,426,1,212,638,263,160
Bitcoin,0.80,gaia,37,426,1,198,624,263,136
Bitcoin,0.80,gaia,39,426,1,206,632,263,110
Bitcoin,0.80,gaia,41,426,1,205,631,263,82
Bitcoin,0.80,gaia,38,426,1,212,638,263,139
Bitcoin,0.80,gaia,43,426,1,256,682,263,66
Bitcoin,0.80,gaia,44,426,1,200,626,263,86
Bitcoin,0.80,gaia,45,426,1,211,637,263,76
Bitcoin,0.80,gaia,40,426,1,207,633,263,192
Bitcoin,0.80,gaia,46,426,1,188,614,263,103
Bitcoin,0.80,gaia,36,426,1,199,625,263,260
Bitcoin,0.80,gaia,47,426,1,206,632,263,138
Bitcoin,0.80,gaia,48,426,1,222,648,263,133
Bitcoin,0.80,gaia,50,426,1,206,632,263,117
Bitcoin,0.80,gaia,49,426,1,213,639,263,184
Bitcoin,0.80,gaia,42,426,1,200,626,263,280
Bitcoin,0.80,venus,2,426,1,206,632,263,173
Bitcoin,0.80,venus,5,426,1,196,622,263,168
Bitcoin,0.80,venus,4,426,1,230,656,263,203
Bitcoin,0.80,venus,1,426,1,197,623,263,255
Bitcoin,0.80,venus,3,426,1,194,620,263,264
Bitcoin,0.80,venus,8,426,1,188,614,263,192
Bitcoin,0.80,venus,6,426,1,202,628,263,214
Bitcoin,0.80,venus,7,426,1,196,622,263,231
Bitcoin,0.80,venus,10,426,1,205,631,263,165
Bitcoin,0.80,venus,9,426,1,190,616,263,239
Bitcoin,0.80,venus,11,426,1,190,616,263,198
Bitcoin,0.80,venus,12,426,1,211,637,263,191
Bitcoin,0.80,venus,13,426,1,203,629,263,177
Bitcoin,0.80,venus,17,426,1,211,637,263,145
Bitcoin,0.80,venus,14,426,1,201,627,263,183
Bitcoin,0.80,venus,16,426,1,209,635,263,169
Bitcoin,0.80,venus,18,426,1,192,618,263,216
Bitcoin,0.80,venus,20,426,1,200,626,263,177
Bitcoin,0.80,venus,19,426,1,198,624,263,244
Bitcoin,0.80,venus,23,426,1,220,646,263,163
Bitcoin,0.80,venus,15,426,1,202,628,263,300
Bitcoin,0.80,venus,24,426,1,195,621,263,166
Bitcoin,0.80,venus,22,426,1,211,637,263,207
Bitcoin,0.80,venus,25,426,1,202,628,263,182
Bitcoin,0.80,venus,21,426,1,189,615,263,255
Bitcoin,0.80,venus,26,426,1,195,621,263,179
Bitcoin,0.80,venus,27,426,1,200,626,263,160
Bitcoin,0.80,venus,30,426,1,205,631,263,159
Bitcoin,0.80,venus,33,426,1,199,625,263,146
Bitcoin,0.80,venus,29,426,1,195,621,263,216
Bitcoin,0.80,venus,36,426,1,219,645,263,151
Bitcoin,0.80,venus,31,426,1,221,647,263,212
Bitcoin,0.80,venus,28,426,1,196,622,263,248
Bitcoin,0.80,venus,35,426,1,215,641,263,171
Bitcoin,0.80,venus,34,426,1,209,635,263,265
Bitcoin,0.80,venus,32,426,1,186,612,263,289
Bitcoin,0.80,venus,37,426,1,208,634,263,199
Bitcoin,0.80,venus,38,426,1,211,637,263,173
Bitcoin,0.80,venus,39,426,1,198,624,263,172
Bitcoin,0.80,venus,44,426,1,194,620,263,150
Bitcoin,0.80,venus,42,426,1,189,615,263,174
Bitcoin,0.80,venus,41,426,1,210,636,263,184
Bitcoin,0.80,venus,40,426,1,196,622,263,207
Bitcoin,0.80,venus,43,426,1,195,621,263,211
Bitcoin,0.80,venus,47,426,1,185,611,263,135
Bitcoin,0.80,venus,45,426,1,204,630,263,150
Bitcoin,0.80,venus,49,426,1,203,629,263,134
Bitcoin,0.80,venus,46,426,1,222,648,263,186
Bitcoin,0.80,venus,48,426,1,191,617,263,162
Bitcoin,0.80,venus,50,426,1,206,632,263,130
Bitcoin,0.70,gaia,7,621,1,42,663,237,24
Bitcoin,0.70,gaia,6,621,1,39,660,237,22
Bitcoin,0.70,gaia,5,621,1,33,654,237,25
Bitcoin,0.70,gaia,4,621,1,44,665,237,30
Bitcoin,0.70,gaia,9,621,1,40,661,237,28
Bitcoin,0.70,gaia,10,621,1,49,670,237,29
Bitcoin,0.70,gaia,2,621,1,47,668,237,34
Bitcoin,0.70,gaia,1,621,1,38,659,237,39
Bitcoin,0.70,gaia,3,621,1,44,665,237,42
Bitcoin,0.70,gaia,12,621,1,43,664,237,17
Bitcoin,0.70,gaia,14,621,1,50,671,237,15
Bitcoin,0.70,gaia,11,621,1,43,664,237,23
Bitcoin,0.70,gaia,13,621,1,47,668,237,22
Bitcoin,0.70,gaia,16,621,1,42,663,237,18
Bitcoin,0.70,gaia,15,621,1,37,658,237,20
Bitcoin,0.70,gaia,8,621,1,37,658,237,53
Bitcoin,0.70,gaia,18,621,1,44,665,237,17
Bitcoin,0.70,gaia,20,621,1,43,664,237,17
Bitcoin,0.70,gaia,21,621,1,46,667,237,19
Bitcoin,0.70,gaia,23,621,1,48,669,237,20
Bitcoin,0.70,gaia,17,621,1,43,664,237,34
Bitcoin,0.70,gaia,22,621,1,50,671,237,22
Bitcoin,0.70,gaia,26,621,1,50,671,237,16
Bitcoin,0.70,gaia,24,621,1,53,674,237,24
Bitcoin,0.70,gaia,19,621,1,42,663,237,33
Bitcoin,0.70,gaia,25,621,1,41,662,237,27
Bitcoin,0.70,gaia,28,621,1,41,662,237,28
Bitcoin,0.70,gaia,35,621,1,42,663,237,16
Bitcoin,0.70,gaia,27,621,1,40,661,237,37
Bitcoin,0.70,gaia,31,621,1,39,660,237,25
Bitcoin,0.70,gaia,30,621,1,35,656,237,28
Bitcoin,0.70,gaia,32,621,1,42,663,237,28
Bitcoin,0.70,gaia,34,621,1,44,665,237,24
Bitcoin,0.70,gaia,36,621,1,54,675,237,22
Bitcoin,0.70,gaia,38,621,1,53,674,237,26
Bitcoin,0.70,gaia,29,621,1,41,662,237,53
Bitcoin,0.70,gaia,41,621,1,48,669,237,22
Bitcoin,0.70,gaia,33,621,1,35,656,237,47
Bitcoin,0.70,gaia,39,621,1,41,662,237,25
Bitcoin,0.70,gaia,42,621,1,48,669,237,21
Bitcoin,0.70,gaia,37,621,1,45,666,237,34
Bitcoin,0.70,gaia,44,621,1,42,663,237,21
Bitcoin,0.70,gaia,40,621,1,36,657,237,36
Bitcoin,0.70,gaia,45,621,1,48,669,237,17
Bitcoin,0.70,gaia,46,621,1,40,661,237,20
Bitcoin,0.70,gaia,43,621,1,45,666,237,42
Bitcoin,0.70,gaia,50,621,1,45,666,237,24
Bitcoin,0.70,gaia,49,621,1,49,670,237,25
Bitcoin,0.70,gaia,47,621,1,37,658,237,28
Bitcoin,0.70,gaia,48,621,1,43,664,237,32
Bitcoin,0.70,venus,2,621,1,38,659,237,49
Bitcoin,0.70,venus,1,621,1,37,658,237,54
Bitcoin,0.70,venus,4,621,1,35,656,237,53
Bitcoin,0.70,venus,7,621,1,42,663,237,44
Bitcoin,0.70,venus,9,621,1,39,660,237,46
Bitcoin,0.70,venus,10,621,1,40,661,237,41
Bitcoin,0.70,venus,3,621,1,41,662,237,62
Bitcoin,0.70,venus,5,621,1,38,659,237,57
Bitcoin,0.70,venus,8,621,1,44,665,237,61
Bitcoin,0.70,venus,6,621,1,44,665,237,70
Bitcoin,0.70,venus,12,621,1,37,658,237,51
Bitcoin,0.70,venus,16,621,1,37,658,237,40
Bitcoin,0.70,venus,18,621,1,43,664,237,39
Bitcoin,0.70,venus,11,621,1,42,663,237,62
Bitcoin,0.70,venus,14,621,1,36,657,237,47
Bitcoin,0.70,venus,13,621,1,36,657,237,59
Bitcoin,0.70,venus,19,621,1,43,664,237,40
Bitcoin,0.70,venus,17,621,1,34,655,237,54
Bitcoin,0.70,venus,15,621,1,40,661,237,58
Bitcoin,0.70,venus,22,621,1,37,658,237,41
Bitcoin,0.70,venus,20,621,1,39,660,237,65
Bitcoin,0.70,venus,23,621,1,36,657,237,43
Bitcoin,0.70,venus,21,621,1,39,660,237,50
Bitcoin,0.70,venus,26,621,1,48,669,237,35
Bitcoin,0.70,venus,24,621,1,41,662,237,51
Bitcoin,0.70,venus,25,621,1,40,661,237,53
Bitcoin,0.70,venus,27,621,1,37,658,237,43
Bitcoin,0.70,venus,28,621,1,38,659,237,43
Bitcoin,0.70,venus,29,621,1,37,658,237,41
Bitcoin,0.70,venus,30,621,1,36,657,237,34
Bitcoin,0.70,venus,31,621,1,35,656,237,40
Bitcoin,0.70,venus,32,621,1,42,663,237,40
Bitcoin,0.70,venus,34,621,1,38,659,237,40
Bitcoin,0.70,venus,33,621,1,37,658,237,50
Bitcoin,0.70,venus,36,621,1,48,669,237,42
Bitcoin,0.70,venus,37,621,1,41,662,237,47
Bitcoin,0.70,venus,35,621,1,40,661,237,54
Bitcoin,0.70,venus,39,621,1,40,661,237,51
Bitcoin,0.70,venus,38,621,1,37,658,237,54
Bitcoin,0.70,venus,40,621,1,41,662,237,42
Bitcoin,0.70,venus,41,621,1,34,655,237,41
Bitcoin,0.70,venus,44,621,1,42,663,237,45
Bitcoin,0.70,venus,43,621,1,41,662,237,54
Bitcoin,0.70,venus,46,621,1,36,657,237,43
Bitcoin,0.70,venus,45,621,1,38,659,237,53
Bitcoin,0.70,venus,42,621,1,38,659,237,67
Bitcoin,0.70,venus,47,621,1,40,661,237,51
Bitcoin,0.70,venus,49,621,1,36,657,237,53
Bitcoin,0.70,venus,48,621,1,32,653,237,65
Bitcoin,0.70,venus,50,621,1,44,665,237,58
Bitcoin,0.60,gaia,1,734,0,0,734,252,0
Bitcoin,0.60,gaia,2,734,0,0,734,252,0
Bitcoin,0.60,gaia,3,734,0,0,734,252,0
Bitcoin,0.60,gaia,4,734,0,0,734,252,0
Bitcoin,0.60,gaia,5,734,0,0,734,252,0
Bitcoin,0.60,gaia,7,734,0,0,734,252,0
Bitcoin,0.60,gaia,6,734,0,0,734,252,0
Bitcoin,0.60,gaia,8,734,0,0,734,252,0
Bitcoin,0.60,gaia,10,734,0,0,734,252,0
Bitcoin,0.60,gaia,13,734,0,0,734,252,0
Bitcoin,0.60,gaia,12,734,0,0,734,252,0
Bitcoin,0.60,gaia,9,734,0,0,734,252,0
Bitcoin,0.60,gaia,11,734,0,0,734,252,0
Bitcoin,0.60,gaia,15,734,0,0,734,252,0
Bitcoin,0.60,gaia,16,734,0,0,734,252,0
Bitcoin,0.60,gaia,18,734,0,0,734,252,0
Bitcoin,0.60,gaia,14,734,0,0,734,252,0
Bitcoin,0.60,gaia,17,734,0,0,734,252,0
Bitcoin,0.60,gaia,20,734,0,0,734,252,0
Bitcoin,0.60,gaia,19,734,0,0,734,252,0
Bitcoin,0.60,gaia,21,734,0,0,734,252,0
Bitcoin,0.60,gaia,23,734,0,0,734,252,0
Bitcoin,0.60,gaia,22,734,0,0,734,252,0
Bitcoin,0.60,gaia,24,734,0,0,734,252,0
Bitcoin,0.60,gaia,27,734,0,0,734,252,0
Bitcoin,0.60,gaia,25,734,0,0,734,252,0
Bitcoin,0.60,gaia,26,734,0,0,734,252,0
Bitcoin,0.60,gaia,28,734,0,0,734,252,0
Bitcoin,0.60,gaia,29,734,0,0,734,252,0
Bitcoin,0.60,gaia,30,734,0,0,734,252,0
Bitcoin,0.60,gaia,33,734,0,0,734,252,0
Bitcoin,0.60,gaia,34,734,0,0,734,252,0
Bitcoin,0.60,gaia,32,734,0,0,734,252,0
Bitcoin,0.60,gaia,31,734,0,0,734,252,0
Bitcoin,0.60,gaia,38,734,0,0,734,252,0
Bitcoin,0.60,gaia,35,734,0,0,734,252,0
Bitcoin,0.60,gaia,36,734,0,0,734,252,0
Bitcoin,0.60,gaia,37,734,0,0,734,252,0
Bitcoin,0.60,gaia,41,734,0,0,734,252,0
Bitcoin,0.60,gaia,40,734,0,0,734,252,0
Bitcoin,0.60,gaia,39,734,0,0,734,252,0
Bitcoin,0.60,gaia,42,734,0,0,734,252,0
Bitcoin,0.60,gaia,44,734,0,0,734,252,0
Bitcoin,0.60,gaia,43,734,0,0,734,252,0
Bitcoin,0.60,gaia,45,734,0,0,734,252,0
Bitcoin,0.60,gaia,47,734,0,0,734,252,0
Bitcoin,0.60,gaia,46,734,0,0,734,252,0
Bitcoin,0.60,gaia,48,734,0,0,734,252,0
Bitcoin,0.60,gaia,49,734,0,0,734,252,0
Bitcoin,0.60,gaia,50,734,0,0,734,252,0
Bitcoin,0.60,venus,1,734,0,0,734,252,0
Bitcoin,0.60,venus,4,734,0,0,734,252,0
Bitcoin,0.60,venus,3,734,0,0,734,252,0
Bitcoin,0.60,venus,2,734,0,0,734,252,0
Bitcoin,0.60,venus,5,734,0,0,734,252,0
Bitcoin,0.60,venus,6,734,0,0,734,252,0
Bitcoin,0.60,venus,7,734,0,0,734,252,0
Bitcoin,0.60,venus,8,734,0,0,734,252,0
Bitcoin,0.60,venus,9,734,0,0,734,252,0
Bitcoin,0.60,venus,10,734,0,0,734,252,0
Bitcoin,0.60,venus,11,734,0,0,734,252,0
Bitcoin,0.60,venus,14,734,0,0,734,252,0
Bitcoin,0.60,venus,12,734,0,0,734,252,0
Bitcoin,0.60,venus,13,734,0,0,734,252,0
Bitcoin,0.60,venus,15,734,0,0,734,252,0
Bitcoin,0.60,venus,16,734,0,0,734,252,0
Bitcoin,0.60,venus,17,734,0,0,734,252,0
Bitcoin,0.60,venus,18,734,0,0,734,252,0
Bitcoin,0.60,venus,19,734,0,0,734,252,0
Bitcoin,0.60,venus,20,734,0,0,734,252,0
Bitcoin,0.60,venus,27,734,0,0,734,252,0
Bitcoin,0.60,venus,21,734,0,0,734,252,0
Bitcoin,0.60,venus,22,734,0,0,734,252,0
Bitcoin,0.60,venus,24,734,0,0,734,252,0
Bitcoin,0.60,venus,25,734,0,0,734,252,0
Bitcoin,0.60,venus,23,734,0,0,734,252,0
Bitcoin,0.60,venus,28,734,0,0,734,252,0
Bitcoin,0.60,venus,29,734,0,0,734,252,0
Bitcoin,0.60,venus,30,734,0,0,734,252,0
Bitcoin,0.60,venus,26,734,0,0,734,252,0
Bitcoin,0.60,venus,31,734,0,0,734,252,0
Bitcoin,0.60,venus,32,734,0,0,734,252,0
Bitcoin,0.60,venus,33,734,0,0,734,252,0
Bitcoin,0.60,venus,34,734,0,0,734,252,0
Bitcoin,0.60,venus,35,734,0,0,734,252,0
Bitcoin,0.60,venus,36,734,0,0,734,252,0
Bitcoin,0.60,venus,37,734,0,0,734,252,0
Bitcoin,0.60,venus,38,734,0,0,734,252,0
